utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DK_1_load_actual_entsoe_transparency,DK_1_price_day_ahead,DK_1_solar_generation_actual,DK_1_wind_generation_actual,DK_1_wind_offshore_generation_actual,DK_1_wind_onshore_generation_actual,DK_2_load_actual_entsoe_transparency,DK_2_price_day_ahead,DK_2_solar_generation_actual,DK_2_wind_generation_actual,DK_2_wind_offshore_generation_actual,DK_2_wind_onshore_generation_actual,NL_load_actual_entsoe_transparency,NL_solar_generation_actual,NL_wind_generation_actual,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual,NO_2_load_actual_entsoe_transparency,NO_2_price_day_ahead,NO_2_wind_onshore_generation_actual,SE_3_load_actual_entsoe_transparency,SE_3_price_day_ahead,SE_3_wind_onshore_generation_actual,SE_4_load_actual_entsoe_transparency,SE_4_price_day_ahead,SE_4_wind_onshore_generation_actual
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,43572,40089,0,0,37149,15363,0.4136,2591,3304,1.275,34558,12059,0.349,1563.81,20.9,0,2525.33,709.35,1815.98,1179.23,20.9,0,723.4,358.58,364.82,10794,0,2237,892,1344,3813.72,28.17,63.04,8257,24.03,1177,2342,24.03,1221
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,42396,40089,0,0,37149,15080,0.4059,2591,3299,1.2732,34558,11781,0.3409,1480.84,18.13,0,2310.45,796.81,1513.64,1113.79,18.13,0,725.49,360.6,364.89,10320,0,2265,909,1357,3785.48,28.03,58.28,8097,24.02,1088,2291,24.02,1228
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,40985,40089,0,0,37149,14731,0.3966,2591,3300,1.2736,34558,11431,0.3308,1408.38,16.03,0,2028.85,784.36,1244.49,1085.14,16.03,0,763.36,356.93,406.43,9930,0,2299,897,1402,3755.87,28,54.57,8069,23.19,983,2189,23.19,1241
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,40187,40089,0,0,37149,14865,0.4002,2591,3299,1.273,34558,11566,0.3347,1432.12,16.43,0,1861.85,771.89,1089.96,1049.81,16.43,0,765.35,361.57,403.78,9679,0,2390,914,1475,3774.5,28.02,49.66,7953,24.1,996,2155,24.1,1233
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,38921,40089,0,0,37149,15253,0.4106,2591,3289,1.2696,34558,11964,0.3462,1443.35,13.75,0,1512.32,549.71,962.61,1040.37,13.75,0,765.33,352.19,413.14,9652,0,2386,919,1468,3798.94,28.14,47.68,7979,25.01,969,2159,25.01,1198
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,37450,40089,0,0,37149,15904,0.4281,2591,3188,1.2303,34558,12716,0.368,1467.84,11.1,0,1243.91,375.65,868.26,1059.47,11.1,0,750.68,359.84,390.84,9784,0,2230,922,1309,3902.83,28.31,49.97,8080,25.62,956,2228,25.62,1113
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,37842,40089,1,0,37149,15903,0.4281,2591,2883,1.1128,34558,13019,0.3767,1531.05,15.47,0,1188.36,436.42,751.94,1101.9,15.47,0,757.92,359.62,398.3,10117,0,2146,919,1227,3866.2,28.09,51.92,8293,25.87,939,2352,25.87,1031
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,38747,40089,274,0.0068,37149,15816,0.4258,2591,2661,1.027,34558,13155,0.3807,1615.37,16.88,0.01,1134.83,441.21,693.62,1139.83,16.88,0.03,744.93,362.77,382.16,10464,0,2214,918,1295,3929.26,27.73,52.24,8484,26.18,921,2427,26.18,952
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,41680,40089,2083,0.052,37149,15722,0.4232,2591,2606,1.0056,34558,13116,0.3796,1705.8,21.81,1.37,1031.02,416.67,614.35,1217.19,21.81,1.02,710.9,361.87,349.03,10852,19,2167,912,1255,4129.04,28.28,52.9,8718,25.74,850,2470,25.74,873
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,44315,40089,4679,0.1167,37149,14504,0.3904,2591,2308,0.8908,34558,12196,0.3529,1828.87,26.24,8.47,949.99,409.83,540.16,1332.19,26.24,3.09,665,362.41,302.59,11555,74,2045,914,1131,4190.73,28.36,58.04,9167,26.89,796,2624,26.89,774
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,46682,40089,6830,0.1704,37149,13301,0.358,2591,2170,0.8377,34558,11130,0.3221,1915.91,27.48,17.44,909.88,404.95,504.93,1402.28,27.48,7.01,607.82,356.89,250.93,12136,132,1892,906,986,4285.9,28.52,74.86,9516,27.48,723,2792,27.48,636
